['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['nineteen mules loaded'],"Then the nineteen mules were loaded with thirty-seven robbers in jars , and the jar of oil , and reached the town by dusk .",,
['captain stopped mules'],"The Captain stopped his mules in front of Ali Baba 's house , and said to Ali Baba , who was sitting outside for coolness : `` I have brought some oil from a distance to sell at to-morrow 's market , but it is now so late that I know not where to pass the night , unless you will do me the favor to take me in . ''",,
['disguise oil merchant'],"Though Ali Baba had seen the Captain of the robbers in the forest , he did not recognize him in the disguise of an oil merchant .",,
['prepare bed supper'],"He bade him welcome , opened his gates for the mules to enter , and went to Morgiana to bid her prepare a bed and supper for his guest .",,
['kitchen captain went'],"He brought the stranger into his hall , and after they had supped went again to speak to Morgiana in the kitchen , while the Captain went into the yard under pretense of seeing after his mules , but really to tell his men what to do .",,
['jars open knives'],"Beginning at the first jar and ending at the last , he said to each man : `` As soon as I throw some stones from the window of the chamber where I lie , cut the jars open with your knives and come out , and I will be with you in a trice . ''",,
['returned house morgiana'],"He returned to the house , and Morgiana led him to his chamber .",,
['pot make broth'],"She then told Abdallah , her fellow-slave , to set on the pot to make some broth for her master , who had gone to bed .",,
['lamp went oil'],"Meanwhile her lamp went out , and she had no more oil in the house .",,
['abdallah yard jars'],"`` Do not be uneasy , '' said Abdallah ; `` go into the yard and take some out of one of those jars . ''",,
['pot went yard'],"Morgiana thanked him for his advice , took the oil pot , and went into the yard .",,
['came jar robber'],When she came to the first jar the robber inside said softly : `` Is it time ? '',,
['oil wanted screamed'],"Any other slave but Morgiana , on finding a man in the jar instead of the oil she wanted , would have screamed and made a noise ; but she , knowing the danger her master was in , bethought herself of a plan , and answered quietly : `` Not yet , but presently . ''",,
['jars giving answer'],"She went to all the jars , giving the same answer , till she came to the jar of oil .",,
['entertain oil merchant'],"She now saw that her master , thinking to entertain an oil merchant , had let thirty-eight robbers into his house .",,
['filled oil pot'],"She filled her oil pot , went back to the kitchen , and , having lit her lamp , went again to the oil jar and filled a large kettle full of oil .",,
['boiled went poured'],When it boiled she went and poured enough oil into every jar to stifle and kill the robber inside .,,
['kitchen lamp waited'],"When this brave deed was done she went back to the kitchen , put out the fire and the lamp , and waited to see what would happen .",,
['got opened window'],"In a quarter of an hour the Captain of the robbers awoke , got up , and opened the window .",,
['pebbles hit jars'],"As all seemed quiet , he threw down some little pebbles which hit the jars .",,
['uneasy went yard'],"He listened , and as none of his men seemed to stir he grew uneasy , and went down into the yard .",,
['oil knew plot'],"On going to the first jar and saying , `` Are you asleep ? ''he smelt the hot boiled oil , and knew at once that his plot to murder Ali Baba and his household had been discovered .",,
